edad,sexo,horas_entrenamiento,vo2max,porcentaje_grasa,consumo_proteina,suplementos,competencias_anuales,lesiones_previas,rendimiento
24,F,3.6,49.7,15.2,1.7,1,3,0,47.66
37,M,10.7,64.3,12.6,1.55,0,9,1,44.82
32,F,7.6,43.3,22.2,1.84,0,6,3,50.47
28,M,12.7,61.1,21.0,1.39,1,6,0,43.15
25,F,11.7,58.1,17.1,1.59,0,9,0,40.23
38,F,5.8,43.4,20.7,1.99,0,11,2,49.9
24,M,6.0,41.4,11.3,1.32,1,4,3,47.06
36,M,5.1,59.8,8.3,1.0,1,5,1,44.76
28,F,4.0,58.5,19.6,1.71,0,7,0,45.26
28,M,6.9,55.3,14.5,1.52,0,7,1,44.73
38,F,11.6,69.9,16.5,1.9,1,10,1,39.19
21,M,3.2,54.2,12.2,1.56,1,3,1,42.29
25,F,10.1,65.4,20.6,1.42,0,6,0,47.18
20,F,9.9,59.5,8.4,1.58,1,5,1,42.41
39,F,9.4,54.2,9.5,1.93,0,7,2,44.98
38,F,9.8,49.0,21.4,1.77,0,5,1,45.19
19,F,5.2,48.5,5.2,1.0,0,5,0,45.37
29,F,9.9,54.7,16.5,1.66,1,5,3,47.89
23,M,6.6,63.4,13.7,1.67,0,7,2,43.08
19,M,2.0,55.6,12.0,1.59,1,9,1,43.89
38,M,8.1,57.4,14.0,1.42,0,9,2,43.74
18,F,5.9,59.4,11.2,1.96,0,10,0,43.21
29,F,11.4,61.4,20.5,1.97,0,10,1,44.78
39,F,7.3,56.3,22.1,1.0,1,6,1,46.92
29,F,8.1,44.6,13.3,1.36,0,10,1,48.75
34,M,9.0,63.8,15.2,1.56,0,9,2,42.85
27,M,7.3,51.2,10.1,1.88,1,7,3,44.03
33,F,7.7,62.4,18.6,1.61,0,4,1,44.93
32,M,10.1,65.0,18.2,1.39,1,4,2,41.13
32,M,5.3,48.1,14.5,1.81,0,9,0,47.36
36,F,6.2,60.2,14.5,1.54,1,9,0,44.08
29,M,5.6,50.6,15.1,1.56,0,6,0,44.98
37,F,11.6,55.4,8.5,1.59,1,1,0,40.7
20,M,6.2,55.4,21.1,1.77,0,8,0,48.07
22,F,7.6,56.7,11.8,1.51,0,1,1,45.87
36,F,6.5,54.1,12.0,1.81,0,11,0,43.59
24,F,7.2,45.0,15.4,1.58,0,7,1,48.07
38,F,6.2,52.7,19.2,1.28,0,8,0,47.91
26,M,9.2,71.9,10.9,1.59,1,7,1,41.8
24,F,5.4,33.4,9.4,1.3,0,4,1,47.26
35,F,4.6,58.4,11.1,1.61,1,4,3,46.95
21,F,6.6,61.3,16.1,1.85,1,6,2,43.52
31,M,6.0,43.9,24.9,1.28,1,6,2,50.73
35,F,4.7,49.1,10.6,1.71,0,4,0,44.56
26,M,7.2,47.4,10.6,1.35,0,4,2,45.35
38,F,3.8,64.6,8.0,1.66,1,9,1,39.67
19,M,12.3,66.2,7.3,1.86,1,6,1,38.1
37,M,4.3,60.1,19.3,1.0,0,3,1,45.5
32,F,6.4,54.6,21.0,1.27,0,7,2,49.68
24,M,7.0,63.4,14.9,1.49,0,7,0,43.84
29,F,12.2,58.3,12.8,1.69,1,3,1,44.62
25,F,3.7,61.1,21.6,1.55,0,3,1,49.56
32,F,8.4,54.3,15.8,1.59,0,2,3,47.49
20,M,10.6,52.3,19.6,2.21,1,6,0,45.31
31,M,7.2,67.0,11.7,1.24,0,5,2,41.52
34,F,5.1,52.5,15.4,1.94,0,6,3,51.97
21,F,7.7,48.5,10.7,1.5,1,7,1,42.2
